Date,Euro,Libra Esterlina,Yen Japones,Dolar Canadiense,Dolar Australiano
2020-05-08 00:00:00+01:00,1.0837171077728271,1.237593173980713,0.009402119554579258,0.7158452272415161,0.6503299474716187
2020-05-11 00:00:00+01:00,1.0839520692825317,1.2417423725128174,0.00935287494212389,0.7181792259216309,0.653710126876831
2020-05-12 00:00:00+01:00,1.080940842628479,1.2333498001098633,0.009296617470681667,0.7133685350418091,0.6484664082527161
2020-05-13 00:00:00+01:00,1.0846810340881348,1.2254902124404907,0.009333756752312183,0.7101818919181824,0.6455298662185669
2020-05-14 00:00:00+01:00,1.08236825466156,1.224155068397522,0.00935165025293827,0.709773600101471,0.6454944014549255
2020-05-15 00:00:00+01:00,1.0806955099105835,1.2233912944793701,0.009314022026956081,0.7126059532165527,0.6471235156059265
2020-05-18 00:00:00+01:00,1.0821340084075928,1.2085760831832886,0.0093276621773839,0.7096728086471558,0.6425785422325134
2020-05-19 00:00:00+01:00,1.0915124416351318,1.2200031280517578,0.009312634356319904,0.7174115777015686,0.652600109577179
2020-05-20 00:00:00+01:00,1.0927767753601074,1.2255953550338745,0.009275577962398529,0.7174630165100098,0.6540094017982483
2020-05-21 00:00:00+01:00,1.0982975959777832,1.2236906290054321,0.009294457733631134,0.7191916108131409,0.65923011302948
2020-05-22 00:00:00+01:00,1.0952903032302856,1.2223445177078247,0.009291003458201885,0.7170000672340393,0.6566894054412842
2020-05-25 00:00:00+01:00,1.0907801389694214,1.218605637550354,0.009282034821808338,0.7150058150291443,0.6545788049697876
2020-05-26 00:00:00+01:00,1.0902997255325317,1.220137119293213,0.009286172688007355,0.7157273888587952,0.6547399163246155
2020-05-27 00:00:00+01:00,1.0981770753860474,1.23350191116333,0.009303105063736439,0.7255577445030212,0.6646699905395508
2020-05-28 00:00:00+01:00,1.1016855239868164,1.2264822721481323,0.009276609867811203,0.7270188927650452,0.6620806455612183
2020-05-29 00:00:00+01:00,1.1079105138778687,1.2321492433547974,0.009289967827498913,0.726005494594574,0.6633498668670654
2020-06-01 00:00:00+01:00,1.1118524074554443,1.2347996234893799,0.009284361265599728,0.7257947325706482,0.6659784913063049
2020-06-02 00:00:00+01:00,1.1125946044921875,1.248704433441162,0.00929817371070385,0.7362414598464966,0.6786000728607178
2020-06-03 00:00:00+01:00,1.118943691253662,1.2581465244293213,0.00919041596353054,0.7401924729347229,0.6914199590682983
2020-06-04 00:00:00+01:00,1.1235954761505127,1.2575136423110962,0.00917439628392458,0.7410810589790344,0.6929046511650085
2020-06-05 00:00:00+01:00,1.1337867975234985,1.2609069347381592,0.00916170421987772,0.7406529784202576,0.6939899921417236
2020-06-08 00:00:00+01:00,1.1319515705108643,1.2725722789764404,0.009121257811784744,0.7466698288917542,0.700239896774292
2020-06-09 00:00:00+01:00,1.1305567026138306,1.2735283374786377,0.009224326349794865,0.7480550408363342,0.7024494409561157
2020-06-10 00:00:00+01:00,1.1332215070724487,1.2711325883865356,0.009276696480810642,0.7450454235076904,0.6942998170852661
2020-06-11 00:00:00+01:00,1.1365444660186768,1.2710679769515991,0.009347453713417053,0.7446903586387634,0.6968300938606262
2020-06-12 00:00:00+01:00,1.1288082599639893,1.257703423500061,0.009363032877445221,0.7332506775856018,0.6830880641937256
2020-06-15 00:00:00+01:00,1.1252011060714722,1.2508755922317505,0.009318709373474121,0.7332937121391296,0.6825007200241089
2020-06-16 00:00:00+01:00,1.1337740421295166,1.2637752294540405,0.009305441752076149,0.7388853430747986,0.695820152759552
2020-06-17 00:00:00+01:00,1.1265701055526733,1.258510708808899,0.009310119785368443,0.7389071583747864,0.6895315051078796
2020-06-18 00:00:00+01:00,1.1242902278900146,1.2552721500396729,0.009355062618851662,0.7366048693656921,0.6875702142715454
2020-06-19 00:00:00+01:00,1.1211000680923462,1.2426837682724,0.009345270693302155,0.7357051968574524,0.6857205629348755
2020-06-22 00:00:00+01:00,1.1177555322647095,1.234811782836914,0.00936057884246111,0.7343761324882507,0.6822911500930786
2020-06-23 00:00:00+01:00,1.1279679536819458,1.250156283378601,0.009354274719953537,0.7406419515609741,0.6931601762771606
2020-06-24 00:00:00+01:00,1.1312345266342163,1.2524893283843994,0.009395670145750046,0.7384324669837952,0.6940299272537231
2020-06-25 00:00:00+01:00,1.1250872611999512,1.2412954568862915,0.009341953322291374,0.7329336404800415,0.685678243637085
2020-06-26 00:00:00+01:00,1.1222084760665894,1.2425447702407837,0.009332275949418545,0.733406662940979,0.6888190507888794
2020-06-29 00:00:00+01:00,1.1225864887237549,1.2342174053192139,0.009326792322099209,0.7310850024223328,0.6861910820007324
2020-06-30 00:00:00+01:00,1.1247202157974243,1.2310571670532227,0.009294544346630573,0.7322466969490051,0.6871907711029053
2020-07-01 00:00:00+01:00,1.1235954761505127,1.2389271259307861,0.009260202758014202,0.7366916537284851,0.69020015001297
2020-07-02 00:00:00+01:00,1.1251378059387207,1.2464786767959595,0.009313935413956642,0.7357810139656067,0.6913239359855652
2020-07-03 00:00:00+01:00,1.1237848997116089,1.2466403245925903,0.009302585385739803,0.7369359731674194,0.6919199228286743
2020-07-06 00:00:00+01:00,1.1247202157974243,1.247551679611206,0.009295494295656681,0.7380564212799072,0.694840133190155
2020-07-07 00:00:00+01:00,1.1312856674194336,1.249547004699707,0.009314542636275291,0.7386124730110168,0.6976999044418335
2020-07-08 00:00:00+01:00,1.1275228261947632,1.2542802095413208,0.00929558090865612,0.7350779175758362,0.6942322850227356
