Date,Bittensor,Near Protocol,Internet Computer,Render,Filecoin
2023-03-05 00:00:00+00:00,0.12608300149440765,2.0322859287261963,5.347765922546387,1.197646975517273,6.141830921173096
2023-03-06 00:00:00+00:00,87.78095245361328,2.055216073989868,5.325384140014648,1.2116179466247559,6.100693225860596
2023-03-07 00:00:00+00:00,85.22114562988281,2.0004770755767822,5.334280014038086,1.179502010345459,5.970064163208008
2023-03-08 00:00:00+00:00,79.79052734375,1.8394900560379028,5.057308197021484,1.0716010332107544,5.7767839431762695
2023-03-09 00:00:00+00:00,75.6289291381836,1.7885550260543823,4.768817901611328,1.0382850170135498,5.493531227111816
2023-03-10 00:00:00+00:00,76.96381378173828,1.8016459941864014,4.929419994354248,1.0589699745178223,5.3148651123046875
2023-03-11 00:00:00+00:00,76.08383178710938,1.8092520236968994,4.749190807342529,0.9852889776229858,4.991639137268066
2023-03-12 00:00:00+00:00,73.4541244506836,1.9490020275115967,5.250957012176514,1.2492949962615967,5.73008918762207
2023-03-13 00:00:00+00:00,79.59539031982422,2.0422990322113037,5.368876934051514,1.284595012664795,6.398665904998779
2023-03-14 00:00:00+00:00,83.40251159667969,2.1214759349823,5.540010929107666,1.3872740268707275,6.7644171714782715
2023-03-15 00:00:00+00:00,80.202880859375,1.9264830350875854,5.18177604675293,1.253985047340393,5.618990898132324
2023-03-16 00:00:00+00:00,79.1722183227539,1.969264030456543,5.184852123260498,1.3479640483856201,5.828929901123047
2023-03-17 00:00:00+00:00,74.81820678710938,2.164695978164673,5.649487018585205,1.5253889560699463,6.396756172180176
2023-03-18 00:00:00+00:00,75.99421691894531,2.080993890762329,5.331130027770996,1.458556056022644,5.878632068634033
2023-03-19 00:00:00+00:00,75.27085876464844,2.139902114868164,5.4287872314453125,1.4775160551071167,6.288142204284668
2023-03-20 00:00:00+00:00,84.09535217285156,1.9954890012741089,5.114806175231934,1.342995047569275,5.7189741134643555
2023-03-21 00:00:00+00:00,80.21420288085938,2.07511305809021,5.278292179107666,1.3452860116958618,5.947406768798828
2023-03-22 00:00:00+00:00,78.9530029296875,1.951643943786621,5.095163822174072,1.3789030313491821,5.661059856414795
2023-03-23 00:00:00+00:00,72.0453872680664,2.047606945037842,5.207426071166992,1.3327360153198242,5.934812068939209
2023-03-24 00:00:00+00:00,73.70584869384766,1.9658019542694092,4.953949928283691,1.2159980535507202,5.557178020477295
2023-03-25 00:00:00+00:00,71.3975601196289,1.9250530004501343,4.896560192108154,1.153319001197815,5.380660057067871
2023-03-26 00:00:00+00:00,70.0046615600586,1.9607559442520142,4.995433807373047,1.2323240041732788,5.69449520111084
2023-03-27 00:00:00+00:00,69.2655029296875,1.8464970588684082,4.765510082244873,1.150954008102417,5.354502201080322
2023-03-28 00:00:00+00:00,66.39286041259766,1.885977029800415,4.837411880493164,1.1802090406417847,5.565254211425781
2023-03-29 00:00:00+00:00,65.07600402832031,2.000602960586548,5.149065971374512,1.2937049865722656,5.743597984313965
2023-03-30 00:00:00+00:00,66.17485046386719,1.926224946975708,5.016857147216797,1.2607769966125488,5.556140899658203
2023-03-31 00:00:00+00:00,62.90148162841797,1.9921499490737915,5.196225166320801,1.3739360570907593,5.688201904296875
2023-04-01 00:00:00+00:00,57.9219970703125,1.9804229736328125,5.208621025085449,1.307257056236267,5.729331970214844
2023-04-02 00:00:00+00:00,59.82282257080078,1.920488953590393,5.073861122131348,1.2764919996261597,5.55596923828125
2023-04-03 00:00:00+00:00,59.85470199584961,1.9491499662399292,4.929650783538818,1.2922860383987427,5.575139999389648
2023-04-04 00:00:00+00:00,59.764915466308594,1.9952789545059204,4.99321985244751,1.330649971961975,5.617970943450928
2023-04-05 00:00:00+00:00,58.56660461425781,2.0267159938812256,5.017643928527832,1.3422960042953491,5.67209005355835
2023-04-06 00:00:00+00:00,60.57634353637695,1.9869999885559082,4.887197971343994,1.3036799430847168,5.6005048751831055
2023-04-07 00:00:00+00:00,57.08636474609375,2.0185720920562744,4.993003845214844,1.3029550313949585,5.793610095977783
2023-04-08 00:00:00+00:00,60.37896728515625,1.9713280200958252,4.915082931518555,1.2714070081710815,5.774810791015625
2023-04-09 00:00:00+00:00,55.903602600097656,2.00990891456604,5.022748947143555,1.3077199459075928,5.750400066375732
2023-04-10 00:00:00+00:00,58.73202133178711,2.064466953277588,5.187193870544434,1.4724509716033936,6.176751136779785
2023-04-11 00:00:00+00:00,61.2408561706543,2.054642915725708,5.3362531661987305,1.5796489715576172,6.115200042724609
2023-04-12 00:00:00+00:00,61.350196838378906,2.1826229095458984,5.317842960357666,1.5726820230484009,5.957015037536621
2023-04-13 00:00:00+00:00,62.97071075439453,2.2057230472564697,5.475354194641113,1.604444980621338,6.082828044891357
2023-04-14 00:00:00+00:00,62.00047302246094,2.224052906036377,5.508743762969971,1.736840009689331,6.2298688888549805
2023-04-15 00:00:00+00:00,59.550899505615234,2.318842887878418,5.892139911651611,1.6735049486160278,6.311830043792725
2023-04-16 00:00:00+00:00,57.288639068603516,2.3261280059814453,6.07863187789917,1.7741719484329224,6.34276819229126
2023-04-17 00:00:00+00:00,57.44808578491211,2.287198066711426,6.2468180656433105,1.974755048751831,6.118175029754639
2023-04-18 00:00:00+00:00,55.8162841796875,2.3463950157165527,6.810704231262207,2.027820110321045,6.263586044311523
2023-04-19 00:00:00+00:00,55.5540885925293,2.1515231132507324,6.119871139526367,1.9266879558563232,5.7050299644470215
2023-04-20 00:00:00+00:00,53.6663932800293,2.047060966491699,5.879062175750732,1.8995330333709717,5.561659812927246
