Date,Bitcoin,Ethereum,XRP,Binance,Solana
2020-05-07 00:00:00+00:00,9951.5185546875,212.28941345214844,0.21891699731349945,17.013198852539062,0.6129779815673828
2020-05-08 00:00:00+00:00,9842.666015625,212.9915771484375,0.21982699632644653,17.24147605895996,0.6049219965934753
2020-05-09 00:00:00+00:00,9593.896484375,211.60012817382812,0.2169020026922226,16.93596076965332,0.6045269966125488
2020-05-10 00:00:00+00:00,8756.4306640625,188.5995635986328,0.19817599654197693,15.295668601989746,0.5370339751243591
2020-05-11 00:00:00+00:00,8601.7958984375,185.912841796875,0.19406400620937347,15.09754467010498,0.5152729749679565
2020-05-12 00:00:00+00:00,8804.4775390625,189.3125,0.19763700664043427,15.741053581237793,0.5385760068893433
2020-05-13 00:00:00+00:00,9269.9873046875,199.1932830810547,0.20148000121116638,16.138877868652344,0.5505319833755493
2020-05-14 00:00:00+00:00,9733.7216796875,202.9490966796875,0.20312899351119995,16.357799530029297,0.5691180229187012
2020-05-15 00:00:00+00:00,9328.197265625,195.62266540527344,0.19891099631786346,15.754373550415039,0.5597519874572754
2020-05-16 00:00:00+00:00,9377.013671875,200.6771240234375,0.20003199577331543,16.051780700683594,0.599120020866394
2020-05-17 00:00:00+00:00,9670.7392578125,207.15869140625,0.20125499367713928,16.314645767211914,0.6129890084266663
2020-05-18 00:00:00+00:00,9726.5751953125,214.52505493164062,0.2051759958267212,16.63626480102539,0.6526700258255005
2020-05-19 00:00:00+00:00,9729.0380859375,213.45111083984375,0.20402799546718597,17.1546630859375,0.6244540214538574
2020-05-20 00:00:00+00:00,9522.9814453125,210.09674072265625,0.20170700550079346,16.888025283813477,0.5791559815406799
2020-05-21 00:00:00+00:00,9081.76171875,199.88360595703125,0.19550900161266327,16.12238121032715,0.6089149713516235
2020-05-22 00:00:00+00:00,9182.5771484375,207.169189453125,0.20034299790859222,16.63959312438965,0.6388750076293945
2020-05-23 00:00:00+00:00,9209.287109375,208.69439697265625,0.19885599613189697,16.588193893432617,0.6130310297012329
2020-05-24 00:00:00+00:00,8790.3681640625,202.37034606933594,0.19543099403381348,16.083438873291016,0.5490530133247375
2020-05-25 00:00:00+00:00,8906.9345703125,205.3197479248047,0.19732700288295746,16.400907516479492,0.6008570194244385
2020-05-26 00:00:00+00:00,8835.052734375,201.90231323242188,0.19397500157356262,16.212547302246094,0.5733069777488708
2020-05-27 00:00:00+00:00,9181.017578125,208.86343383789062,0.19785700738430023,16.493284225463867,0.5909850001335144
2020-05-28 00:00:00+00:00,9525.7509765625,219.84042358398438,0.20059500634670258,17.05933952331543,0.5751550197601318
2020-05-29 00:00:00+00:00,9439.1240234375,220.6751251220703,0.1983480006456375,17.041629791259766,0.5794150233268738
2020-05-30 00:00:00+00:00,9700.4140625,242.34559631347656,0.20622000098228455,17.743417739868164,0.5879330039024353
2020-05-31 00:00:00+00:00,9461.05859375,230.9757080078125,0.20290599763393402,17.04047203063965,0.5700219869613647
2020-06-01 00:00:00+00:00,10167.2685546875,246.99176025390625,0.21024900674819946,17.914941787719727,0.5774949789047241
2020-06-02 00:00:00+00:00,9529.8037109375,237.21905517578125,0.20276400446891785,17.239303588867188,0.5646690130233765
2020-06-03 00:00:00+00:00,9656.7177734375,244.1793212890625,0.20366300642490387,17.5454044342041,0.5866209864616394
2020-06-04 00:00:00+00:00,9800.63671875,244.4263916015625,0.2049819976091385,17.565874099731445,0.5872989892959595
2020-06-05 00:00:00+00:00,9665.533203125,241.22198486328125,0.20409199595451355,17.688785552978516,0.6611549854278564
2020-06-06 00:00:00+00:00,9653.6796875,241.9313201904297,0.20314200222492218,17.535934448242188,0.6224430203437805
2020-06-07 00:00:00+00:00,9758.8525390625,245.16725158691406,0.20344899594783783,17.44703483581543,0.6165779829025269
2020-06-08 00:00:00+00:00,9771.4892578125,246.30990600585938,0.20377099514007568,17.393030166625977,0.6683130264282227
2020-06-09 00:00:00+00:00,9795.7001953125,244.9114532470703,0.20201300084590912,17.43537712097168,0.6580020189285278
2020-06-10 00:00:00+00:00,9870.0947265625,247.4449462890625,0.2029380053281784,17.41046714782715,0.6448670029640198
2020-06-11 00:00:00+00:00,9321.78125,231.70266723632812,0.1901800036430359,16.30892562866211,0.5737419724464417
2020-06-12 00:00:00+00:00,9480.84375,237.4932098388672,0.19394299387931824,16.669139862060547,0.5938689708709717
2020-06-13 00:00:00+00:00,9475.27734375,238.90884399414062,0.19310599565505981,16.823734283447266,0.608942985534668
2020-06-14 00:00:00+00:00,9386.7880859375,234.1147003173828,0.1916169971227646,16.65624237060547,0.5870770215988159
2020-06-15 00:00:00+00:00,9450.7021484375,229.9289093017578,0.19307400286197662,16.384801864624023,0.5706390142440796
2020-06-16 00:00:00+00:00,9538.0244140625,234.41616821289062,0.19130699336528778,16.42195701599121,0.5855759978294373
2020-06-17 00:00:00+00:00,9480.2548828125,233.0282745361328,0.19344300031661987,16.402542114257812,0.5815619826316833
2020-06-18 00:00:00+00:00,9411.8408203125,232.10116577148438,0.1909569948911667,16.208589553833008,0.6209560036659241
2020-06-19 00:00:00+00:00,9288.0185546875,227.13829040527344,0.18679000437259674,15.907086372375488,0.684332013130188
2020-06-20 00:00:00+00:00,9332.3408203125,229.27426147460938,0.18850000202655792,16.04755973815918,0.6435909867286682
2020-06-21 00:00:00+00:00,9303.6298828125,228.9898223876953,0.18560999631881714,16.0012264251709,0.6731489896774292
2020-06-22 00:00:00+00:00,9648.7177734375,242.53318786621094,0.18927200138568878,16.47528839111328,0.7268480062484741
